Sample in Buffer,Sample in Window,TRIGGER,system_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],system_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],system_i/system_ila_0/inst/net_slot_0_axis_tvalid,system_i/system_ila_0/inst/net_slot_0_axis_tready,system_i/system_ila_0/inst/net_slot_0_axis_tlast,system_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],system_i/system_ila_0/inst/net_slot_1_axis_tkeep[3:0],system_i/system_ila_0/inst/net_slot_1_axis_tvalid,system_i/system_ila_0/inst/net_slot_1_axis_tready,system_i/system_ila_0/inst/net_slot_1_axis_tlast,Interface_(i2:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],Interface_(i2:s1)_(S_AXIS_S2MM_0_1)[2:0],T_Channel_(i2:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i2:s1)_(S_AXIS_S2MM_0_1)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
1,1,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
2,2,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
3,3,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
4,4,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
5,5,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
6,6,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
7,7,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
8,8,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
9,9,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
10,10,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
11,11,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
12,12,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
13,13,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
14,14,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
15,15,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
16,16,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
17,17,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
18,18,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
19,19,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
20,20,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
21,21,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
22,22,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
23,23,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
24,24,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
25,25,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
26,26,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
27,27,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
28,28,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
29,29,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
30,30,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
31,31,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
32,32,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
33,33,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
34,34,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
35,35,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
36,36,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
37,37,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
38,38,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
39,39,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
40,40,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
41,41,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
42,42,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
43,43,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
44,44,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
45,45,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
46,46,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
47,47,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
48,48,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
49,49,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
50,50,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
51,51,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
52,52,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
53,53,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
54,54,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
55,55,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
56,56,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
57,57,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
58,58,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
59,59,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
60,60,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
61,61,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
62,62,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
63,63,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
64,64,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
65,65,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
66,66,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
67,67,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
68,68,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
69,69,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
70,70,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
71,71,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
72,72,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
73,73,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
74,74,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
75,75,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
76,76,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
77,77,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
78,78,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
79,79,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
80,80,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
81,81,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
82,82,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
83,83,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
84,84,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
85,85,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
86,86,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
87,87,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
88,88,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
89,89,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
90,90,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
91,91,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
92,92,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
93,93,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
94,94,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
95,95,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
96,96,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
97,97,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
98,98,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
99,99,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
100,100,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
101,101,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
102,102,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
103,103,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
104,104,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
105,105,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
106,106,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
107,107,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
108,108,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
109,109,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
110,110,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
111,111,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
112,112,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
113,113,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
114,114,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
115,115,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
116,116,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
117,117,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
118,118,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
119,119,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
120,120,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
121,121,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
122,122,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
123,123,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
124,124,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
125,125,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
126,126,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
127,127,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
128,128,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
129,129,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
130,130,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
131,131,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
132,132,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
133,133,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
134,134,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
135,135,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
136,136,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
137,137,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
138,138,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
139,139,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
140,140,0,100,f,0,1,0,00000000,f,0,1,0,"Inactive","_","No Streams","_"
